genre,bpm,avg_zero_crossing_rate,avg_spectral_centroid,avg_spectral_rolloff,avg_mfcc,avg_chroma_frequencies
blues,0.46376811594202894,0.24254499578222866,0.314011057157902,0.38546750817402775,0.7580428888158841,0.3624403831309373
blues,0.32971014492753614,0.13577789887799818,0.24833556532798018,0.353301803065011,0.6937486063672629,0.3435710384118176
blues,0.7989130434782609,0.2158438902035728,0.2541747588639653,0.2891867564470576,0.7288921896323964,0.3897084664878001
blues,0.8927536231884058,0.04590876176683563,0.129302483863937,0.18102176134674788,0.6978173739378755,0.47372712450652465
blues,0.5766590389016019,0.31535343431101026,0.3272066145083868,0.3569904873537577,0.4227858656526202,0.27784035136234353
blues,0.3705103969754253,0.2860216338078637,0.32640024769039155,0.344567435597694,0.46660386228351547,0.26563077536761903
blues,0.46376811594202894,0.20303828840598104,0.2300211856834634,0.258094466868536,0.44215957098299113,0.24306695288702995
blues,0.19565217391304346,0.15713699172122397,0.22805235652234712,0.27820157735366313,0.5032371334275014,0.2754927359189283
blues,0.11781206171107994,0.1673477309883022,0.29728327380955527,0.38253084494187073,0.7600516265683298,0.4819804136498774
blues,0.5173913043478261,0.22724456355397632,0.322576303234533,0.4028879289067022,0.5305889758334281,0.20756485244482115
blues,0.7989130434782609,0.16313294564673742,0.21722910840097093,0.25431755664577604,0.5768359718831453,0.2685752791736383
blues,0.7989130434782609,0.08790283449166526,0.2024102079353931,0.2688160184686289,0.48253524285965704,0.394486542982477
blues,0.19565217391304346,0.18739296938569844,0.20446508662538088,0.25089460046780754,0.5991219487188666,0.19815045210854187
blues,0.32971014492753614,0.11744067126018053,0.19511083016166586,0.24744538657138268,0.6480831093911019,0.18914664357413524
blues,0.7161125319693092,0.09227587957329593,0.1556424444900809,0.20121709776588834,0.579312890280592,0.3192573979097574
blues,0.2575250836120401,0.16606821592003407,0.21992357631308235,0.27503804743404325,0.5769438107269075,0.1989506061395564
blues,0.2921739130434782,0.15674880745313796,0.22888363807287682,0.2851000051465129,0.6174289051645819,0.2771440725119061
blues,0.7989130434782609,0.10528154557059356,0.1341796020825805,0.17478292744152144,0.6462157760625044,0.26503128103490703
blues,0.11781206171107994,0.13618101331024135,0.2502059159390083,0.3463161996468862,0.6261725158264863,0.19963670352538665
blues,0.46376811594202894,0.14703076360324585,0.16172999238278285,0.1874212924889271,0.591882246717254,0.1739666252802251
blues,0.5766590389016019,0.12212426375628004,0.21214795260768465,0.2846126618919631,0.606710875749202,0.2659589457893371
blues,0.2575250836120401,0.10362579036556509,0.12325436481590135,0.13641304861564058,0.6660895708652118,0.3038373273461472
blues,0.2575250836120401,0.14578110886329199,0.15147773990414115,0.17909864604700557,0.6857513551314945,0.27394539571443965
blues,0.2254428341384862,0.12165247056891394,0.16551830091979863,0.22354246030620703,0.6178599607096664,0.22147285430633223
blues,0.2921739130434782,0.1011294669184888,0.14224121774509452,0.19859657746394552,0.5898278733066795,0.1854035008360012
